Id,Date,DayTime,Orig_KG,edit_WeightKG,Orig_Pounds,edit_WeightPounds,Fat,orig_BMI,edit_BMI,IsManualReport,LogId
6962181067,4/12/2016,23:59:59,625000000000001,62.50,137788913865625,137.79,,"243,899,993,896,484 ",24.39,TRUE,1460505599000
8877689391,4/12/2016,06:47:11,858000030517578,85.80,189156627682704,189.16,,"256,800,003,051,758 ",25.68,FALSE,1460443631000
6962181067,5/10/2016,23:59:59,620999984741211,62.10,136907061452898,136.91,,"242,399,997,711,182 ",24.24,TRUE,1462924799000
4558609924,5/9/2016,23:59:59,690999984741211,69.10,152339419805848,152.34,,"270,000,000,000,000 ",27.00,TRUE,1462838399000
6962181067,5/9/2016,23:59:59,624000015258789,62.40,137568454967427,137.57,,"243,500,003,814,697 ",24.35,TRUE,1462838399000
8877689391,5/9/2016,06:39:44,855000000000001,85.50,188495234168175,188.50,,"256,100,006,103,516 ",25.61,FALSE,1462775984000
6962181067,5/8/2016,23:59:59,612000007629395,61.20,134922906139214,134.92,,"238,899,993,896,484 ",23.89,TRUE,1462751999000
8877689391,5/8/2016,07:35:53,854000015258789,85.40,188274775269977,188.27,,"255,599,994,659,424 ",25.56,FALSE,1462692953000
6962181067,5/7/2016,23:59:59,612000007629395,61.20,134922906139214,134.92,,"238,899,993,896,484 ",23.89,TRUE,1462665599000
6962181067,5/6/2016,23:59:59,615000000000001,61.50,135584291243775,135.58,,"240,000,000,000,000 ",24.00,TRUE,1462579199000
8877689391,5/6/2016,06:43:35,850000000000001,85.00,187392922857250,187.39,,"254,400,005,340,576 ",25.44,FALSE,1462517015000
6962181067,5/5/2016,23:59:59,612999992370605,61.30,135143365037411,135.14,,"239,300,003,051,758 ",23.93,TRUE,1462492799000
1503960366,5/3/2016,23:59:59,525999984741211,52.60,115963146545323,115.96,,"226,499,996,185,303 ",22.65,TRUE,1462319999000
6962181067,5/3/2016,23:59:59,615000000000001,61.50,134481979932850,134.48,,"238,199,996,948,242 ",23.82,TRUE,1462319999000
8877689391,5/3/2016,06:49:41,849000015258789,84.90,187172463959052,187.17,,"254,099,998,474,121 ",25.41,FALSE,1462258181000
1503960366,5/2/2016,23:59:59,525999984741211,52.60,115963146545323,115.96,22,"226,499,996,185,303 ",22.65,TRUE,1462233599000
4558609924,5/2/2016,23:59:59,691999969482422,69.20,152559878704046,152.56,,"270,400,009,155,273 ",27.04,TRUE,1462233599000
6962181067,5/2/2016,23:59:59,615000000000001,61.50,135584291243775,135.58,,"240,000,000,000,000 ",24.00,TRUE,1462233599000
4558609924,5/1/2016,23:59:59,699000015258789,69.90,154103124631302,154.10,,"273,199,996,948,242 ",27.32,TRUE,1462147199000
6962181067,5/1/2016,23:59:59,617000007629395,61.70,136025217450139,136.03,,"241,000,003,814,697 ",24.10,TRUE,1462147199000
8877689391,5/1/2016,08:47:49,853000030517578,85.30,188054316371779,188.05,,"255,300,006,866,455 ",25.53,FALSE,1462092469000
6962181067,4/30/2016,11:59:59,610000000000001,61.00,134481979932850,134.48,,"238,199,996,948,242 ",23.82,TRUE,1462060799000
8877689391,4/30/2016,07:49:03,855000000000001,85.50,188495234168175,188.50,,"255,900,001,525,879 ",25.59,FALSE,1462002543000
6962181067,4/29/2016,11:59:59,614000015258789,61.40,135363832345577,135.36,,"239,599,990,844,727 ",23.96,TRUE,1461974399000
8877689391,4/29/2016,06:49:55,849000015258789,84.90,187172463959052,187.17,,"254,099,998,474,121 ",25.41,FALSE,1461912595000
6962181067,4/28/2016,11:59:59,612000007629395,61.20,134922906139214,134.92,,"238,899,993,896,484 ",23.89,TRUE,1461887999000
8877689391,4/28/2016,06:50:03,850999984741211,85.10,187613381755448,187.61,,"254,899,997,711,182 ",25.49,FALSE,1461826203000
6962181067,4/27/2016,11:59:59,612000007629395,61.20,134922906139214,134.92,,"238,899,993,896,484 ",23.89,TRUE,1461801599000
8877689391,4/27/2016,06:51:05,854000015258789,85.40,188274775269977,188.27,,"255,599,994,659,424 ",25.56,FALSE,1461739865000
8877689391,4/26/2016,06:50:27,850999984741211,85.10,187613381755448,187.61,,"254,899,997,711,182 ",25.49,FALSE,1461653427000
4558609924,4/25/2016,11:59:59,703000030517578,70.30,154984977044029,154.98,,"274,599,990,844,727 ",27.46,TRUE,1461628799000
6962181067,4/25/2016,11:59:59,617000007629395,61.70,136025217450139,136.03,,"241,000,003,814,697 ",24.10,TRUE,1461628799000
8877689391,4/25/2016,06:40:16,854000015258789,85.40,188274775269977,188.27,,"255,599,994,659,424 ",25.56,FALSE,1461566416000
6962181067,4/24/2016,11:59:59,615000000000001,61.50,135584291243775,135.58,,"240,000,000,000,000 ",24.00,TRUE,1461542399000
8877689391,4/24/2016,07:38:05,855000000000001,85.50,188495234168175,188.50,,"255,900,001,525,879 ",25.59,FALSE,1461483485000
6962181067,4/23/2016,11:59:59,615000000000001,61.50,135584291243775,135.58,,"240,000,000,000,000 ",24.00,TRUE,1461455999000
8877689391,4/23/2016,07:22:28,855000000000001,85.50,188495234168175,188.50,,"255,900,001,525,879 ",25.59,FALSE,1461396148000
6962181067,4/22/2016,11:59:59,614000015258789,61.40,135363832345577,135.36,,"239,599,990,844,727 ",23.96,TRUE,1461369599000
2873212765,4/21/2016,11:59:59,567000007629395,56.70,125002104340889,125.00,,"214,500,007,629,395 ",21.45,TRUE,1461283199000
6962181067,4/21/2016,11:59:59,614000015258789,61.40,135363832345577,135.36,,"239,599,990,844,727 ",23.96,TRUE,1461283199000
8877689391,4/21/2016,06:50:27,845000000000001,84.50,186290611546325,186.29,,"252,900,009,155,273 ",25.29,FALSE,1461221427000
6962181067,4/20/2016,11:59:59,617000007629395,61.70,136025217450139,136.03,,"241,000,003,814,697 ",24.10,TRUE,1461196799000
8877689391,4/20/2016,06:44:54,849000015258789,84.90,187172463959052,187.17,,"254,099,998,474,121 ",25.41,FALSE,1461134694000
6962181067,4/19/2016,11:59:59,614000015258789,61.40,135363832345577,135.36,,"239,599,990,844,727 ",23.96,TRUE,1461110399000
8877689391,4/19/2016,06:39:31,853000030517578,85.30,188054316371779,188.05,,"255,300,006,866,455 ",25.53,FALSE,1461047971000
4558609924,4/18/2016,11:59:59,696999969482422,69.70,153662190014971,153.66,,"272,500,000,000,001 ",27.25,TRUE,1461023999000
6962181067,4/18/2016,11:59:59,612000007629395,61.20,134922906139214,134.92,,"238,899,993,896,484 ",23.89,TRUE,1461023999000
8877689391,4/18/2016,06:51:14,858000030517578,85.80,189156627682704,189.16,,"256,800,003,051,758 ",25.68,FALSE,1460962274000
4319703577,4/17/2016,11:59:59,724000015258789,72.40,159614681185927,159.61,25,"274,500,007,629,395 ",27.45,TRUE,1460937599000
5577150313,4/17/2016,09:17:55,906999969482422,90.70,199959265073821,199.96,,"280,000,000,000,000 ",28.00,FALSE,1460884675000
6962181067,4/17/2016,11:59:59,614000015258789,61.40,135363832345577,135.36,,"239,599,990,844,727 ",23.96,TRUE,1460937599000
6962181067,4/16/2016,11:59:59,620000000000001,62.00,136686602554700,136.69,,"242,099,990,844,727 ",24.21,TRUE,1460851199000
8877689391,4/16/2016,01:39:25,855000000000001,85.50,188495234168175,188.50,,"255,900,001,525,879 ",25.59,FALSE,1460813965000
6962181067,4/15/2016,11:59:59,615000000000001,61.50,135584291243775,135.58,,"240,000,000,000,000 ",24.00,TRUE,1460764799000
6962181067,4/14/2016,11:59:59,617000007629395,61.70,136025217450139,136.03,,"241,000,003,814,697 ",24.10,TRUE,1460678399000
8877689391,4/14/2016,06:48:43,845000000000001,84.50,186290611546325,186.29,,"253,099,994,659,424 ",25.31,FALSE,1460616523000
1927972279,4/13/2016,01:08:52,1335000000000010,133.50,294317120016975,294.32,,"475,400,009,155,273 ",47.54,FALSE,1460509732000
6962181067,4/13/2016,11:59:59,620999984741211,62.10,136907061452898,136.91,,"242,399,997,711,182 ",24.24,TRUE,1460591999000
8877689391,4/13/2016,06:55:00,849000015258789,84.90,187172463959052,187.17,,"254,099,998,474,121 ",25.41,FALSE,1460530500000
4319703577,4/5/2016,23:59:59,723000030517578,72.30,159394222287729,159.39,,"273,799,991,607,666 ",27.38,TRUE,1462406399000
6962181067,4/5/2016,23:59:59,610999984741213,61.10,134702438831048,134.70,,"238,500,003,814,697 ",23.85,TRUE,1462406399000
8877689391,4/5/2016,06:48:22,844000015258789,84.40,186070152648127,186.07,,"252,600,002,288,818 ",25.26,FALSE,1462344502000